"행정구역","2022년08월_계_총인구수","2022년08월_계_연령구간인구수","2022년08월_계_0세","2022년08월_남_총인구수","2022년08월_남_연령구간인구수","2022년08월_남_0세","2022년08월_여_총인구수","2022년08월_여_연령구간인구수","2022년08월_여_0세"
"서울특별시  (1100000000)","9,488,454","40,931","40,931","4,601,295","21,115","21,115","4,887,159","19,816","19,816"
"서울특별시 종로구 (1111000000)","143,499","444","444","69,408","232","232","74,091","212","212"
"서울특별시 종로구 청운효자동(1111051500)","11,766","48","48","5,392","24","24","6,374","24","24"
"서울특별시 종로구 사직동(1111053000)","9,278","34","34","4,124","17","17","5,154","17","17"
"서울특별시 종로구 삼청동(1111054000)","2,384","4","4","1,130","2","2","1,254","2","2"
"서울특별시 종로구 부암동(1111055000)","9,411","21","21","4,476","11","11","4,935","10","10"
"서울특별시 종로구 평창동(1111056000)","17,915","57","57","8,345","36","36","9,570","21","21"
"서울특별시 종로구 무악동(1111057000)","8,106","38","38","3,757","18","18","4,349","20","20"
"서울특별시 종로구 교남동(1111058000)","9,944","54","54","4,579","27","27","5,365","27","27"
"서울특별시 종로구 가회동(1111060000)","3,978","14","14","1,830","8","8","2,148","6","6"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,217","12","12","4,280","7","7","2,937","5","5"
"서울특별시 종로구 종로5.6가동(1111063000)","5,081","5","5","2,701","3","3","2,380","2","2"
"서울특별시 종로구 이화동(1111064000)","7,161","20","20","3,394","6","6","3,767","14","14"
"서울특별시 종로구 혜화동(1111065000)","16,390","36","36","7,889","20","20","8,501","16","16"
"서울특별시 종로구 창신제1동(1111067000)","4,847","8","8","2,590","7","7","2,257","1","1"
"서울특별시 종로구 창신제2동(1111068000)","7,825","16","16","4,026","8","8","3,799","8","8"
"서울특별시 종로구 창신제3동(1111069000)","6,484","32","32","3,187","14","14","3,297","18","18"
"서울특별시 종로구 숭인제1동(1111070000)","5,832","17","17","2,805","7","7","3,027","10","10"
"서울특별시 종로구 숭인제2동(1111071000)","9,880","28","28","4,903","17","17","4,977","11","11"
"서울특별시 중구 (1114000000)","121,960","571","571","59,309","272","272","62,651","299","299"
"서울특별시 중구 소공동(1114052000)","2,232","12","12","1,076","7","7","1,156","5","5"
"서울특별시 중구 회현동(1114054000)","4,724","20","20","2,443","9","9","2,281","11","11"
"서울특별시 중구 명동(1114055000)","2,899","7","7","1,271","5","5","1,628","2","2"
"서울특별시 중구 필동(1114057000)","4,042","14","14","2,082","2","2","1,960","12","12"
"서울특별시 중구 장충동(1114058000)","4,691","12","12","2,466","8","8","2,225","4","4"
"서울특별시 중구 광희동(1114059000)","5,322","16","16","2,689","8","8","2,633","8","8"
