'일시', '시간', '팀', '결과', '구장'
'07.01(금)', '18:30', '롯데:LG', '1:2', '잠실'
'07.01(금)', '18:30', 'KIA:SSG', '6:7', '문학'
'07.01(금)', '18:30', '삼성:NC', '경기취소', '창원'
'07.01(금)', '18:30', '두산:KT', '7:11', '수원'
'07.01(금)', '18:30', '한화:키움', '5:7', '고척'
'07.02(토)', '14:00', '한화:키움', '0:3', '고척'
'07.02(토)', '18:00', '롯데:LG', '8:1', '잠실'
'07.02(토)', '18:00', 'KIA:SSG', '1:2', '문학'
'07.02(토)', '18:00', '삼성:NC', '1:17', '창원'
'07.02(토)', '18:00', '두산:KT', '3:8', '수원'
'07.03(일)', '14:00', '한화:키움', '1:2', '고척'
'07.03(일)', '17:00', '롯데:LG', '1:4', '잠실'
'07.03(일)', '17:00', 'KIA:SSG', '2:3', '문학'
'07.03(일)', '17:00', '삼성:NC', '6:11', '창원'
'07.03(일)', '17:00', '두산:KT', '0:6', '수원'
'07.05(화)', '18:30', '키움:두산', '4:3', '잠실'
'07.05(화)', '18:30', '롯데:SSG', '3:4', '문학'
'07.05(화)', '18:30', 'LG:삼성', '4:1', '대구'
'07.05(화)', '18:30', 'KT:KIA', '경기취소', '광주'
'07.05(화)', '18:30', 'NC:한화', '1:0', '대전'
'07.06(수)', '18:30', '키움:두산', '2:5', '잠실'
'07.06(수)', '18:30', '롯데:SSG', '12:5', '문학'
'07.06(수)', '18:30', 'LG:삼성', '10:9', '대구'
'07.06(수)', '18:30', 'KT:KIA', '8:1', '광주'
'07.06(수)', '18:30', 'NC:한화', '4:3', '대전'
'07.07(목)', '18:30', '키움:두산', '2:4', '잠실'
'07.07(목)', '18:30', '롯데:SSG', '1:8', '문학'
'07.07(목)', '18:30', 'LG:삼성', '11:9', '대구'
'07.07(목)', '18:30', 'KT:KIA', '경기취소', '광주'
'07.07(목)', '18:30', 'NC:한화', '11:12', '대전'
'07.08(금)', '18:30', 'LG:두산', '11:4', '잠실'
'07.08(금)', '18:30', 'SSG:삼성', '9:8', '대구'
'07.08(금)', '18:30', '롯데:KT', '3:6', '수원'
'07.08(금)', '18:30', '한화:KIA', '3:5', '광주'
'07.08(금)', '18:30', 'NC:키움', '2:3', '고척'
'07.09(토)', '14:00', 'NC:키움', '1:10', '고척'
'07.09(토)', '18:00', 'LG:두산', '8:6', '잠실'
'07.09(토)', '18:00', 'SSG:삼성', '13:10', '대구'
'07.09(토)', '18:00', '롯데:KT', '1:3', '수원'
'07.09(토)', '18:00', '한화:KIA', '5:6', '광주'
'07.10(일)', '14:00', 'NC:키움', '0:2', '고척'
'07.10(일)', '17:00', 'LG:두산', '9:0', '잠실'
'07.10(일)', '17:00', 'SSG:삼성', '7:2', '대구'
'07.10(일)', '17:00', '롯데:KT', '9:1', '수원'
'07.10(일)', '17:00', '한화:KIA', '3:6', '광주'
'07.12(화)', '18:30', 'KIA:LG', '7:1', '잠실'
'07.12(화)', '18:30', '키움:SSG', '3:7', '문학'
'07.12(화)', '18:30', '한화:롯데', '2:3', '사직'
'07.12(화)', '18:30', '두산:NC', '11:7', '창원'
'07.12(화)', '18:30', '삼성:KT', '3:4', '수원'
'07.13(수)', '18:30', 'KIA:LG', '경기취소', '잠실'
'07.13(수)', '18:30', '키움:SSG', '경기취소', '문학'
'07.13(수)', '18:30', '한화:롯데', '0:2', '사직'
'07.13(수)', '18:30', '두산:NC', '1:4', '창원'
'07.13(수)', '18:30', '삼성:KT', '경기취소', '수원'
'07.14(목)', '18:30', 'KIA:LG', '2:6', '잠실'
'07.14(목)', '18:30', '키움:SSG', '1:4', '문학'
'07.14(목)', '18:30', '한화:롯데', '7:10', '사직'
'07.14(목)', '18:30', '두산:NC', '11:3', '창원'
'07.14(목)', '18:30', '삼성:KT', '0:1', '수원'
'07.16(토)', '18:00', '나눔:드림', '6:3', '잠실'
'07.22(금)', '18:30', 'SSG:두산', '1:0', '잠실'
'07.22(금)', '18:30', 'KIA:롯데', '5:2', '사직'
'07.22(금)', '18:30', 'LG:NC', '4:5', '창원'
'07.22(금)', '18:30', '삼성:키움', '2:3', '고척'
'07.22(금)', '18:30', 'KT:한화', '0:8', '대전'
'07.23(토)', '14:00', '삼성:키움', '0:6', '고척'
'07.23(토)', '18:00', 'SSG:두산', '경기취소', '잠실'
'07.23(토)', '18:00', 'KIA:롯데', '9:3', '사직'
'07.23(토)', '18:00', 'LG:NC', '11:5', '창원'
'07.23(토)', '18:00', 'KT:한화', '5:3', '대전'
'07.24(일)', '14:00', '삼성:키움', '8:0', '고척'
'07.24(일)', '17:00', 'SSG:두산', '5:4', '잠실'
'07.24(일)', '17:00', 'KIA:롯데', '23:0', '사직'
'07.24(일)', '17:00', 'LG:NC', '1:6', '창원'
'07.24(일)', '17:00', 'KT:한화', '3:1', '대전'
'07.26(화)', '18:30', '롯데:두산', '1:6', '잠실'
'07.26(화)', '18:30', 'LG:SSG', '9:0', '문학'
'07.26(화)', '18:30', '키움:KT', '8:7', '수원'
