팀명,경기날짜,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
현대캐피탈,2017-10-14,1,안드레아스,23,34,21,0,1,61.76,35.05,10,6,0,1,60.0,34.48,1,1,0,0,100.0,20.0,0,0,0,0,0.0,0.0,8,6,0,0,75.0,38.1,0,0,0,0,0.0,0.0,15,8,0,0,53.33,53.57,14,0,8,0.0,13.59,6,4,2,0,1.0,9.68,2,0,0,0.0,1.92,17,10,0,2.5,22.08,12,2,4,2,1,0.5,25.0,3,0,10,L,0.3382352941176471,1
현대캐피탈,2017-10-14,1,문성민,18,32,17,3,2,53.13,32.99,11,5,1,1,45.45,37.93,1,1,0,0,100.0,20.0,0,0,0,0,0.0,0.0,13,6,2,1,46.15,61.9,0,0,0,0,0.0,0.0,7,5,0,0,71.43,25.0,15,1,5,0.25,14.56,8,5,3,0,1.25,12.9,2,1,0,0.25,1.92,0,0,0,0.0,0.0,7,0,2,4,0,0.0,14.58,0,0,7,R,0.2647058823529412,1
현대캐피탈,2017-10-14,1,신영석,10,8,4,1,0,50.0,8.25,2,1,0,0,50.0,6.9,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,3,1,0,50.0,42.86,0,0,0,0,0.0,0.0,16,1,0,0.25,15.53,5,5,0,0,1.25,8.06,4,1,1,0.25,3.85,2,1,0,0.25,2.6,11,5,0,4,0,1.25,22.92,2,0,1,C,0.1470588235294117,1
현대캐피탈,2017-10-14,1,김재휘,7,8,4,0,0,50.0,8.25,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,8,4,0,0,50.0,57.14,0,0,0,0,0.0,0.0,14,1,4,0.25,13.59,3,2,1,0,0.5,4.84,1,1,0,0.25,0.96,0,0,0,0.0,0.0,10,2,2,4,1,0.5,20.83,0,0,5,C,0.1029411764705882,1
현대캐피탈,2017-10-14,1,이시우,7,8,6,0,1,75.0,8.25,1,0,0,1,0.0,3.45,3,2,0,0,66.67,60.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,4,0,0,100.0,14.29,10,1,3,0.25,9.71,5,3,2,0,0.75,8.06,3,2,0,0.5,2.88,15,7,2,1.25,19.48,1,0,0,1,0,0.0,2.08,1,0,4,L,0.1029411764705882,0
현대캐피탈,2017-10-14,1,박주형,2,4,2,0,0,50.0,4.12,3,1,0,0,33.33,10.34,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,0,0,100.0,3.57,6,0,0,0.0,5.83,8,4,4,0,1.0,12.9,1,0,0,0.0,0.96,15,4,1,0.75,19.48,0,0,0,0,0,0.0,0.0,0,0,0,L,0.0294117647058823,1
현대캐피탈,2017-10-14,1,노재욱,1,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,24,0,0,0.0,23.3,9,5,4,0,1.25,14.52,72,43,0,10.75,69.23,0,0,0,0.0,0.0,6,1,2,2,0,0.25,12.5,1,0,0,S,0.0147058823529411,1
현대캐피탈,2017-10-14,1,여오현,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,13,12,1,0,3.0,20.97,11,1,1,0.25,10.58,18,11,3,2.0,23.38,0,0,0,0,0,0.0,0.0,0,0,1,Li,0.0,0
대한항공,2017-10-14,0,가스파리니,26,46,24,5,5,52.17,41.44,13,6,2,1,46.15,39.39,2,2,0,0,100.0,66.67,0,0,0,0,0.0,0.0,14,6,1,4,42.86,63.64,0,0,0,0,0.0,0.0,17,10,2,0,58.82,48.57,17,2,5,0.5,16.83,6,5,1,0,1.25,10.17,0,0,0,0.0,0.0,0,0,0,0.0,0.0,9,0,4,3,1,0.0,21.43,0,0,11,R,0.4,1
대한항공,2017-10-14,0,곽승석,10,16,8,2,0,50.0,14.41,7,4,0,0,57.14,21.21,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,3,0,0,100.0,13.64,0,0,0,0,0.0,0.0,6,1,2,0,16.67,17.14,12,1,3,0.25,11.88,8,7,1,0,1.75,13.56,1,0,0,0.0,0.88,23,13,2,2.75,28.05,5,1,0,3,0,0.25,11.9,1,0,3,L,0.1538461538461538,1
대한항공,2017-10-14,0,정지석,9,22,8,2,1,36.36,19.82,9,2,1,0,22.22,27.27,1,0,0,0,0.0,33.33,0,0,0,0,0.0,0.0,5,3,0,1,60.0,22.73,0,0,0,0,0.0,0.0,7,3,1,0,42.86,20.0,15,0,6,0.0,14.85,11,8,3,0,2.0,18.64,6,3,0,0.75,5.26,35,20,0,5.0,42.68,6,1,2,3,0,0.25,14.29,0,0,7,L,0.1384615384615384,1
대한항공,2017-10-14,0,진상헌,6,7,5,1,1,71.43,6.31,1,1,0,0,100.0,3.03,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,6,4,1,1,66.67,33.33,0,0,0,0,0.0,0.0,10,1,1,0.25,9.9,3,2,0,1,0.5,5.08,0,0,0,0.0,0.0,0,0,0,0.0,0.0,4,0,1,2,0,0.0,9.52,1,0,3,C,0.0923076923076923,1
대한항공,2017-10-14,0,진성태,6,7,5,0,0,71.43,6.31,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,7,5,0,0,71.43,38.89,0,0,0,0,0.0,0.0,7,0,2,0.0,6.93,4,2,1,1,0.67,6.78,0,0,0,0.0,0.0,1,0,0,0.0,1.22,8,1,1,4,0,0.33,19.05,0,0,3,C,0.0923076923076923,0
대한항공,2017-10-14,0,조재영,4,5,3,0,1,60.0,4.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,3,0,1,60.0,27.78,0,0,0,0,0.0,0.0,11,0,2,0.0,10.89,5,4,1,0,1.33,8.47,0,0,0,0.0,0.0,0,0,0,0.0,0.0,7,1,0,2,0,0.33,16.67,1,0,3,C,0.0615384615384615,1
대한항공,2017-10-14,0,한선수,4,2,2,0,0,100.0,1.8,2,2,0,0,100.0,6.06,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,14,2,3,0.5,13.86,8,5,3,0,1.25,13.56,86,46,1,11.5,75.44,0,0,0,0.0,0.0,2,0,1,0,0,0.0,4.76,0,0,4,S,0.0615384615384615,1
대한항공,2017-10-14,0,백광현,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,9,6,3,0,1.5,15.25,4,1,0,0.25,3.51,18,10,2,2.0,21.95,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
대한항공,2017-10-14,0,신영수,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0.0,1.98,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,L,0.0,0
KB손해보험,2017-10-15,1,알렉스,35,51,30,3,6,58.82,43.97,22,13,2,1,59.09,55.0,1,0,0,1,0.0,20.0,0,0,0,0,0.0,0.0,15,6,1,3,40.0,44.12,0,0,0,0,0.0,0.0,13,11,0,1,84.62,46.43,19,4,8,0.8,18.1,10,9,1,0,1.8,19.61,1,1,0,0.2,0.86,25,12,1,2.2,30.12,8,1,0,5,0,0.2,16.33,0,0,14,L,0.4605263157894737,1
KB손해보험,2017-10-15,1,이강원,18,37,17,9,2,45.95,31.9,11,4,2,0,36.36,27.5,3,2,0,0,66.67,60.0,0,0,0,0,0.0,0.0,14,6,4,1,42.86,41.18,0,0,0,0,0.0,0.0,9,5,3,1,55.56,32.14,13,0,5,0.0,12.38,3,2,1,0,0.4,5.88,2,0,0,0.0,1.72,0,0,0,0.0,0.0,5,1,1,1,0,0.2,10.2,2,0,7,R,0.2368421052631578,1
KB손해보험,2017-10-15,1,황두연,7,14,6,0,2,42.86,12.07,5,1,0,1,20.0,12.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,1,0,0,33.33,8.82,0,0,0,0,0.0,0.0,6,4,0,1,66.67,21.43,14,1,3,0.2,13.33,13,12,1,0,2.4,25.49,2,2,0,0.4,1.72,33,16,2,2.8,39.76,3,0,0,2,0,0.0,6.12,1,0,5,L,0.0921052631578947,1
KB손해보험,2017-10-15,1,이선규,7,6,5,0,0,83.33,5.17,1,1,0,0,100.0,2.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,5,4,0,0,80.0,55.56,0,0,0,0,0.0,0.0,12,0,0,0.0,11.43,4,4,0,0,0.8,7.84,1,1,0,0.2,0.86,2,0,0,0.0,2.41,18,2,4,10,0,0.4,36.73,2,0,0,C,0.0921052631578947,1
KB손해보험,2017-10-15,1,전진용,5,5,3,0,0,60.0,4.31,1,1,0,0,100.0,2.5,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,2,0,0,50.0,44.44,0,0,0,0,0.0,0.0,9,1,4,0.25,8.57,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,9,1,4,4,0,0.25,18.37,0,0,4,C,0.0657894736842105,1
KB손해보험,2017-10-15,1,황택의,4,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,27,4,3,0.8,25.71,10,4,6,0,0.8,19.61,101,54,0,10.8,87.07,0,0,0,0.0,0.0,3,0,1,2,0,0.0,6.12,0,0,3,S,0.0526315789473684,1
KB손해보험,2017-10-15,1,손현종,0,3,0,2,1,0.0,2.59,0,0,0,0,0.0,0.0,1,0,1,0,0.0,20.0,0,0,0,0,0.0,0.0,2,0,1,1,0.0,5.88,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,0,0,0.0,1.9,1,1,0,0,0.25,1.96,1,0,0,0.0,0.86,0,0,0,0.0,0.0,1,0,0,1,0,0.0,2.04,0,0,1,L,0.0,0
KB손해보험,2017-10-15,1,곽동혁,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,5,5,0,0,1.0,9.8,4,0,0,0.0,3.45,22,11,0,2.2,26.51,0,0,0,0,0,0.0,0.0,0,0,0,Li,0.0,0
KB손해보험,2017-10-15,1,하현용,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,4,0,0,0.0,3.81,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,1,1,0,0.33,1.2,2,0,1,1,0,0.0,4.08,0,0,0,C,0.0,0
KB손해보험,2017-10-15,1,한기호,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,3,0,1,0.0,2.86,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,1,L,0.0,0
삼성화재,2017-10-15,0,박철우,23,33,21,2,2,63.64,36.67,20,10,1,2,50.0,46.51,1,1,0,0,100.0,100.0,0,0,0,0,0.0,0.0,9,8,1,0,88.89,47.37,0,0,0,0,0.0,0.0,3,2,0,0,66.67,21.43,21,1,5,0.2,20.19,7,4,3,0,0.8,16.67,3,0,1,0.0,3.23,2,1,1,0.0,2.47,9,1,2,5,0,0.2,14.29,2,0,8,R,0.3382352941176471,1
삼성화재,2017-10-15,0,타이스,22,34,17,2,2,50.0,37.78,16,6,0,2,37.5,37.21,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,10,7,0,0,70.0,52.63,0,0,0,0,0.0,0.0,8,4,2,0,50.0,57.14,15,0,6,0.0,14.42,5,3,2,0,0.6,11.9,3,1,0,0.2,3.23,20,2,6,0.0,24.69,14,5,4,3,0,1.0,22.22,1,0,8,L,0.3235294117647059,1
