팀명,경기날짜,결과,이름,득점_득점,공격종합_시도,공격종합_성공,공격종합_공격차단,공격종합_범실,공격종합_성공률,공격종합_점유율,오픈_시도,오픈_성공,오픈_공격차단,오픈_범실,오픈_성공률,오픈_점유율,시간차_시도,시간차_성공,시간차_공격차단,시간차_범실,시간차_성공률,시간차_점유율,이동_시도,이동_성공,이동_공격차단,이동_범실,이동_성공률,이동_점유율,후위_시도,후위_성공,후위_공격차단,후위_범실,후위_성공률,후위_점유율,속공_시도,속공_성공,속공_공격차단,속공_범실,속공_성공률,속공_점유율,퀵오픈_시도,퀵오픈_성공,퀵오픈_공격차단,퀵오픈_범실,퀵오픈_성공률,퀵오픈_점유율,서브_시도,서브_성공,서브_범실,서브_성공률,서브_점유율,디그_시도,디그_성공,디그_실패,디그_범실,디그_세트당,디그_점유율,세트_시도,세트_성공,세트_범실,세트_세트당,세트_점유율,리시브_시도,리시브_정확,리시브_실패,리시브_세트당,리시브_점유율,블로킹_시도,블로킹_성공,블로킹_유효블락,블로킹_실패,블로킹_범실,블로킹_세트당,블로킹_점유율,블로킹_어시스트,벌칙_벌칙,범실_범실,포지션,득점점유율,스타팅멤버
우리카드,2020-10-17,0,나경복,28,57,24,13,5,42.11,43.85,15,7,1,1,46.67,39.47,4,2,0,2,50,80,0,0,0,0,0,0,20,7,5,2,35,68.97,0,0,0,0,0,0,18,8,7,0,44.44,40,19,2,3,0.4,19.19,15,12,3,0,2.4,24.59,3,0,0,0,2.26,8,6,0,75,8.6,13,2,3,6,0,0.4,17.81,2,0,8,R,0.405797101449275,1
우리카드,2020-10-17,0,알렉스,24,48,18,9,0,37.5,36.92,18,6,2,0,33.33,47.37,0,0,0,0,0,0,0,0,0,0,0,0,9,4,2,0,44.44,31.03,0,0,0,0,0,0,21,8,5,0,38.1,46.67,20,3,5,0.6,20.2,9,4,5,0,0.8,14.75,1,0,0,0,0.75,28,12,3,32.14,30.11,4,3,0,0,0,0.6,5.48,1,0,5,L,0.347826086956522,1
우리카드,2020-10-17,0,하현용,8,7,4,0,0,57.14,5.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,57.14,53.85,0,0,0,0,0,0,10,0,1,0,10.1,4,4,0,0,0.8,6.56,0,0,0,0,0,1,0,0,0,1.08,19,4,3,6,0,0.8,26.03,0,0,1,C,0.115942028985507,1
우리카드,2020-10-17,0,류윤식,5,10,4,2,0,40,7.69,3,0,1,0,0,7.89,1,1,0,0,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,0,50,13.33,17,0,2,0,17.17,12,10,1,1,2,19.67,3,0,0,0,2.26,34,19,0,55.88,36.56,8,1,3,4,0,0.2,10.96,1,0,3,L,0.072463768115942,1
우리카드,2020-10-17,0,최석기,3,6,2,1,1,33.33,4.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,33.33,46.15,0,0,0,0,0,0,10,0,0,0,10.1,3,3,0,0,0.6,4.92,2,0,0,0,1.5,1,0,0,0,1.08,15,1,5,7,0,0.2,20.55,2,0,1,C,0.0434782608695652,1
우리카드,2020-10-17,0,하승우,1,2,1,0,0,50,1.54,2,1,0,0,50,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9.09,4,2,2,0,0.5,6.56,56,23,0,5.75,42.11,0,0,0,0,0,3,0,0,1,0,0,4.11,1,0,0,S,0.0144927536231884,1
우리카드,2020-10-17,0,이상욱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,1,0,2.2,19.67,11,3,0,0.6,8.27,19,11,1,52.63,20.43,0,0,0,0,0,0,0,0,0,0,Li,0,0
우리카드,2020-10-17,0,이호건,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9.09,2,2,0,0,0.4,3.28,57,26,1,5.2,42.86,2,0,0,0,2.15,10,0,3,5,0,0,13.7,0,0,1,S,0,0
우리카드,2020-10-17,0,장준호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.37,0,0,0,C,0,0
우리카드,2020-10-17,0,최현규,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,L,0,0
대한항공,2020-10-17,1,정지석,34,30,21,0,2,70,24,8,7,0,0,87.5,19.51,1,0,0,0,0,100,0,0,0,0,0,0,5,4,0,0,80,18.52,0,0,0,0,0,0,16,10,0,2,62.5,42.11,18,2,3,0.4,16.36,17,14,3,0,2.8,25.76,2,0,0,0,1.6,28,15,3,42.86,32.56,20,11,3,5,0,2.2,23.53,3,0,5,L,0.373626373626374,1
대한항공,2020-10-17,1,비예나,20,38,16,6,3,42.11,30.4,14,7,3,0,50,34.15,0,0,0,0,0,0,0,0,0,0,0,0,16,4,2,3,25,59.26,0,0,0,0,0,0,8,5,1,0,62.5,21.05,14,2,4,0.4,12.73,5,5,0,0,1,7.58,2,1,0,0.2,1.6,0,0,0,0,0,9,2,2,3,0,0.4,10.59,2,0,7,R,0.21978021978022,1
대한항공,2020-10-17,1,곽승석,10,23,8,3,1,34.78,18.4,8,1,2,0,12.5,19.51,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,50,7.41,0,0,0,0,0,0,13,6,1,1,46.15,34.21,13,0,2,0,11.82,10,9,1,0,1.8,15.15,5,2,0,0.4,4,28,21,0,75,32.56,13,2,3,6,1,0.4,15.29,0,0,4,L,0.10989010989011,1
대한항공,2020-10-17,1,진지위,10,8,5,0,1,62.5,6.4,1,0,0,1,0,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,71.43,38.89,0,0,0,0,0,0,14,0,1,0,12.73,2,2,0,0,0.4,3.03,3,0,0,0,2.4,1,0,0,0,1.16,15,5,4,4,0,1,17.65,6,0,2,C,0.10989010989011,1
대한항공,2020-10-17,1,임동혁,9,12,6,2,1,50,9.6,7,4,1,0,57.14,17.07,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,25,14.81,0,0,0,0,0,0,1,1,0,0,100,2.63,3,0,2,0,2.73,3,3,0,0,0.75,4.55,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0.75,7.06,0,0,3,R,0.0989010989010989,0
대한항공,2020-10-17,1,이수황,6,12,5,0,1,41.67,9.6,2,1,0,0,50,4.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,1,40,55.56,0,0,0,0,0,0,22,0,1,0,20,3,3,0,0,0.6,4.55,5,2,0,0.4,4,0,0,0,0,0,15,1,8,4,0,0.2,17.65,2,0,2,C,0.0659340659340659,1
대한항공,2020-10-17,1,한선수,2,1,1,0,0,100,0.8,1,1,0,0,100,2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,4,0,19.09,7,2,5,0,0.4,10.61,89,41,0,8.2,71.2,0,0,0,0,0,6,1,2,1,0,0.2,7.06,1,0,4,S,0.021978021978022,1
대한항공,2020-10-17,1,오은렬,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,1,9.09,4,2,0,0.4,3.2,29,13,2,37.93,33.72,0,0,0,0,0,0,0,0,0,0,Li,0,0
대한항공,2020-10-17,1,유광우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2.73,1,1,0,0,0.25,1.52,14,10,0,2.5,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0
대한항공,2020-10-17,1,정성민,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,5,0,1.2,16.67,1,1,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Li,0,0
한국전력,2020-10-18,0,박철우,30,45,26,8,2,57.78,38.46,22,15,3,0,68.18,37.93,0,0,0,0,0,0,0,0,0,0,0,0,14,8,2,1,57.14,43.75,0,0,0,0,0,0,9,3,3,1,33.33,47.37,17,2,2,0.4,15.6,11,10,1,0,2,18.64,0,0,0,0,0,0,0,0,0,0,6,2,1,3,0,0.4,11.76,0,0,4,R,0.38961038961039,1
한국전력,2020-10-18,0,러셀,20,44,17,9,4,38.64,37.61,25,11,4,1,44,43.1,1,0,0,0,0,33.33,0,0,0,0,0,0,15,5,5,3,33.33,46.88,0,0,0,0,0,0,3,1,0,0,33.33,15.79,12,2,3,0.4,11.01,5,2,3,0,0.4,8.47,1,0,0,0,0.85,9,4,2,22.22,10.23,5,1,0,3,0,0.2,9.8,3,0,7,L,0.25974025974026,1
한국전력,2020-10-18,0,이시몬,6,11,3,1,0,27.27,9.4,5,0,1,0,0,8.62,1,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,60,26.32,15,0,1,0,13.76,15,10,5,0,2,25.42,8,3,0,0.6,6.78,48,33,2,64.58,54.55,8,3,2,3,0,0.6,15.69,1,0,1,L,0.0779220779220779,1
한국전력,2020-10-18,0,박태환,6,3,2,0,0,66.67,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,66.67,60,0,0,0,0,0,0,7,0,0,0,6.42,1,1,0,0,0.2,1.69,1,0,0,0,0.85,0,0,0,0,0,10,4,0,5,0,0.8,19.61,4,0,0,C,0.0779220779220779,1
한국전력,2020-10-18,0,이승준,5,9,5,0,1,55.56,7.69,3,2,0,0,66.67,5.17,1,1,0,0,100,33.33,0,0,0,0,0,0,3,1,0,1,33.33,9.38,0,0,0,0,0,0,2,1,0,0,50,10.53,6,0,4,0,5.5,3,2,1,0,0.4,5.08,2,1,0,0.2,1.69,2,1,0,50,2.27,3,0,0,1,0,0,5.88,1,0,5,L,0.0649350649350649,0
한국전력,2020-10-18,0,안요한,5,3,2,0,1,66.67,2.56,1,1,0,0,100,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,50,40,0,0,0,0,0,0,18,1,2,0.2,16.51,5,3,2,0,0.6,8.47,2,2,0,0.4,1.69,1,0,0,0,1.14,10,2,2,4,0,0.4,19.61,4,0,3,C,0.0649350649350649,1
한국전력,2020-10-18,0,김명관,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1,0.4,19.27,8,6,2,0,1.2,13.56,101,48,0,9.6,85.59,1,0,0,0,1.14,9,3,0,3,0,0.6,17.65,0,0,1,S,0.0649350649350649,1
한국전력,2020-10-18,0,오재성,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,0,1,13.56,3,0,0,0,2.54,27,12,1,40.74,30.68,0,0,0,0,0,0,0,0,0,0,Li,0,0
한국전력,2020-10-18,0,이승호,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,8.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,S,0,0
삼성화재,2020-10-18,1,바르텍,39,54,33,6,5,61.11,46.55,17,12,1,2,70.59,53.13,0,0,0,0,0,0,0,0,0,0,0,0,24,13,3,1,54.17,77.42,0,0,0,0,0,0,13,8,2,2,61.54,33.33,16,2,4,0.4,14.68,6,6,0,0,1.2,11.76,1,0,0,0,0.83,0,0,0,0,0,4,4,0,0,0,0.8,5.97,4,0,9,R,0.464285714285714,1
삼성화재,2020-10-18,1,황경민,13,18,8,3,1,44.44,15.52,4,2,1,0,50,12.5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9.68,0,0,0,0,0,0,11,6,2,1,54.55,28.21,13,1,3,0.2,11.93,7,4,3,0,0.8,13.73,5,2,0,0.4,4.17,23,15,1,60.87,24.73,9,4,1,4,0,0.8,13.43,1,0,4,L,0.154761904761905,1
삼성화재,2020-10-18,1,박상하,12,9,4,1,0,44.44,7.76,1,1,0,0,100,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,0,37.5,57.14,0,0,0,0,0,0,15,0,0,0,13.76,4,3,1,0,0.6,7.84,3,2,0,0.4,2.5,1,1,0,100,1.08,21,8,3,7,0,1.6,31.34,5,0,0,C,0.142857142857143,1
삼성화재,2020-10-18,1,정성규,8,18,7,3,2,38.89,15.52,5,0,0,1,0,15.63,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,75,12.9,0,0,0,0,0,0,9,4,3,1,44.44,23.08,17,1,5,0.25,15.6,7,5,2,0,1.25,13.73,5,2,1,0.5,4.17,17,5,1,23.53,18.28,8,0,1,5,0,0,11.94,0,0,8,L,0.0952380952380952,1
삼성화재,2020-10-18,1,김정윤,8,7,5,0,0,71.43,6.03,1,0,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,83.33,42.86,0,0,0,0,0,0,12,1,1,0.2,11.01,5,3,1,1,0.6,9.8,4,0,0,0,3.33,0,0,0,0,0,17,2,5,5,0,0.4,25.37,3,0,2,C,0.0952380952380952,1
삼성화재,2020-10-18,1,신장호,4,7,3,1,2,42.86,6.03,3,1,1,1,33.33,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,50,10.26,6,0,1,0,5.5,1,1,0,0,0.2,1.96,0,0,0,0,0,4,2,0,50,4.3,2,1,1,0,0,0.2,2.99,1,0,3,L,0.0476190476190476,0
삼성화재,2020-10-18,1,김동영,0,2,0,1,0,0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,5.13,4,0,2,0,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,R,0,0
삼성화재,2020-10-18,1,이승원,0,1,0,0,0,0,0.86,1,0,0,0,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,3,0,22.94,10,7,3,0,1.4,19.61,101,52,0,10.4,84.17,0,0,0,0,0,6,0,1,4,0,0,8.96,4,0,3,S,0,1
삼성화재,2020-10-18,1,박지훈,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,2,0,1.8,21.57,1,0,0,0,0.83,48,27,5,45.83,51.61,0,0,0,0,0,0,0,0,0,0,Li,0,0
현대캐피탈,2020-10-20,1,다우디,30,45,28,2,4,62.22,56.96,20,10,0,3,50,74.07,0,0,0,0,0,0,0,0,0,0,0,0,16,10,1,1,62.5,94.12,0,0,0,0,0,0,9,8,1,0,88.89,50,13,1,5,0.33,17.81,2,2,0,0,0.67,4.76,2,1,0,0.33,2.44,0,0,0,0,0,4,1,0,0,1,0.33,8.51,2,0,10,R,0.555555555555556,1
현대캐피탈,2020-10-20,1,이시우,8,10,8,0,0,80,12.66,3,1,0,0,33.33,11.11,1,1,0,0,100,25,0,0,0,0,0,0,1,1,0,0,100,5.88,0,0,0,0,0,0,5,5,0,0,100,27.78,11,0,2,0,15.07,7,5,2,0,1.67,16.67,3,0,0,0,3.66,29,12,2,34.48,54.72,5,0,3,2,0,0,10.64,0,0,2,L,0.148148148148148,1
현대캐피탈,2020-10-20,1,최민호,7,9,5,0,1,55.56,11.39,1,1,0,0,100,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,1,50,61.54,0,0,0,0,0,0,5,0,1,0,6.85,1,1,0,0,0.33,2.38,1,1,0,0.33,1.22,0,0,0,0,0,13,2,5,5,0,0.67,27.66,2,0,2,C,0.12962962962963,1
현대캐피탈,2020-10-20,1,박주형,5,9,3,0,2,33.33,11.39,2,0,0,1,0,7.41,3,3,0,0,100,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,22.22,11,0,1,0,15.07,11,9,2,0,3,26.19,4,2,0,0.67,4.88,7,4,0,57.14,13.21,6,2,3,0,0,0.67,12.77,1,0,3,L,0.0925925925925926,1
현대캐피탈,2020-10-20,1,신영석,2,6,1,0,0,16.67,7.59,1,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,20,38.46,0,0,0,0,0,0,17,0,2,0,23.29,4,4,0,0,1.33,9.52,1,1,0,0.33,1.22,0,0,0,0,0,9,1,3,4,0,0.33,19.15,2,0,2,C,0.037037037037037,1
현대캐피탈,2020-10-20,1,김형진,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,16.44,4,4,0,0,1.33,9.52,64,36,0,12,78.05,1,0,0,0,1.89,8,1,2,4,0,0.33,17.02,0,0,3,S,0.0185185185185185,1
현대캐피탈,2020-10-20,1,최은석,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0.33,5.48,1,0,1,0,0,2.38,1,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,L,0.0185185185185185,0
현대캐피탈,2020-10-20,1,박경민,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1.33,9.52,1,0,0,0,1.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Li,0,0
현대캐피탈,2020-10-20,1,여오현,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,2.33,16.67,5,3,0,1,6.1,16,6,0,37.5,30.19,0,0,0,0,0,0,0,0,0,0,Li,0,0
우리카드,2020-10-20,0,알렉스,12,32,10,2,3,31.25,37.21,12,3,0,2,25,36.36,1,0,1,0,0,100,0,0,0,0,0,0,5,1,0,1,20,45.45,0,0,0,0,0,0,14,6,1,0,42.86,50,12,1,4,0.33,19.05,14,9,5,0,3,30.43,1,0,0,0,1.14,26,13,0,50,44.83,4,1,0,0,0,0.33,12.9,0,0,7,L,0.342857142857143,1
우리카드,2020-10-20,0,나경복,10,22,8,4,3,36.36,25.58,13,3,3,2,23.08,39.39,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1,66.67,54.55,0,0,0,0,0,0,3,1,1,0,33.33,10.71,12,1,0,0.33,19.05,6,3,3,0,1,13.04,0,0,0,0,0,5,1,1,0,8.62,6,1,2,1,0,0.33,19.35,0,0,3,R,0.285714285714286,1
우리카드,2020-10-20,0,한성정,8,12,8,1,1,66.67,13.95,5,2,0,1,40,15.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,85.71,25,5,0,2,0,7.94,4,4,0,0,1.33,8.7,0,0,0,0,0,6,4,1,50,10.34,3,0,1,2,0,0,9.68,0,0,3,L,0.228571428571429,0
우리카드,2020-10-20,0,하현용,5,9,5,0,1,55.56,10.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,1,55.56,69.23,0,0,0,0,0,0,9,0,2,0,14.29,1,1,0,0,0.33,2.17,3,0,0,0,3.41,0,0,0,0,0,5,0,1,3,0,0,16.13,1,0,3,C,0.142857142857143,1
우리카드,2020-10-20,0,이상욱,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,2,0,2,17.39,4,0,0,0,4.55,17,11,0,64.71,29.31,0,0,0,0,0,0,0,0,0,0,Li,0,0
우리카드,2020-10-20,0,이호건,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,6.52,13,6,0,2,14.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0
우리카드,2020-10-20,0,하승우,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,17.46,5,3,2,0,1,10.87,63,26,0,8.67,71.59,0,0,0,0,0,2,0,0,2,0,0,6.45,0,0,1,S,0,1
